1,Bulbasaur,PLANTA,45,49,49,bulbasaur.jpg,16,2
2,Ivysaur,PLANTA,60,62,63,ivysaur.png,32,3
3,Venusaur,PLANTA,80,82,83,venusaur.png,100,0
4,Charmander,FUEGO,39,52,43,charmander.jpg,16,5
5,Charmeleon,FUEGO,58,64,58,charmeleon.png,36,6
6,Charizard,FUEGO,78,84,78,charizard.png,100,0
7,Squirtle,AGUA,44,48,65,sqrt.jpg,16,8
8,Wartortle,AGUA,59,63,80,wartortle.png,36,9
9,Blastoise,AGUA,79,83,100,blastoise.png,100,0
10,Caterpie,BICHO,45,30,35,caterpie.png,7,11
11,Metapod,BICHO,50,20,55,metapod.png,10,12
12,Butterfree,BICHO,60,45,50,butterfree.png,100,0
13,Weedle,BICHO,40,35,30,weedle.png,7,14
14,Kakuna,BICHO,45,25,50,kakuna.png,10,15
15,Beedrill,BICHO,65,90,40,beedrill.png,100,0
16,Pidgey,NORMAL,40,45,40,pidgey.png,18,17
17,Pidgeotto,NORMAL,63,60,55,pidgeotto.png,36,18
18,Pidgeot,NORMAL,83,80,75,pidgeot.png,100,0
19,Rattata,NORMAL,30,56,35,rattata.png,20,20
20,Raticate,NORMAL,55,81,60,raticate.png,100,0
21,Spearow,NORMAL,40,60,30,spearow.png,20,22
22,Fearow,NORMAL,65,90,65,fearow.png,100,0
23,Ekans,VENENO,35,60,44,ekans.png,22,24
24,Arbok,VENENO,60,95,69,arbok.png,100,0
25,Pikachu,ELECTRICO,35,55,40,pikachu.png,25,26
26,Raichu,ELECTRICO,60,90,55,raichu.png,100,0
27,Sandshrew,TIERRA,50,75,85,sandshrew.png,22,28
28,Sandslash,TIERRA,75,100,110,sandslash.png,100,0
29,NidoranF,VENENO,55,47,52,nidoranf.png,16,30
30,Nidorina,VENENO,70,62,67,nidorina.png,36,31
31,Nidoqueen,VENENO,90,92,87,nidoqueen.png,100,0
32,NidoranM,VENENO,46,57,40,nidoranm.png,16,33
33,Nidorino,VENENO,61,72,57,nidorino.png,36,34
34,Nidoking,VENENO,81,102,77,nidoking.png,100,0
35,Clefairy,HADA,70,45,48,clefairy.png,30,36
